# SunScope Pro - Sunlight Analysis Report
# Generated: 2026-01-16T13:49:20.794Z
# Location: Hyderabad (17.385, 78.4867)
# Date: 2026-01-16

# Summary Metrics
Metric,Value,Unit
First Sun Time,07:05 AM,
Last Sun Time,05:50 PM,
Total Sun Hours,11.00,hours
Direct Sun Hours,11.00,hours
Peak Irradiance,780,W/m²
Peak Time,12:20 PM,
Daily Irradiation,5136,Wh/m²
Comfort Score,53,/100
Risk Level,medium,

# Hourly Data
Hour,Time,Sun Altitude (deg),Sun Azimuth (deg),In Shadow,Shadow Percent,Irradiance (W/m²)
6,2026-01-16T01:20:35.970Z,-0.66,-68.12,No,0.0,0
7,2026-01-16T01:35:35.970Z,2.65,-66.97,No,0.0,5
7,2026-01-16T01:50:35.970Z,5.93,-65.75,No,0.0,35
7,2026-01-16T02:05:35.970Z,9.17,-64.43,No,0.0,81
7,2026-01-16T02:20:35.970Z,12.38,-63.01,No,0.0,134
8,2026-01-16T02:35:35.970Z,15.55,-61.47,No,0.0,190
8,2026-01-16T02:50:35.970Z,18.67,-59.82,No,0.0,247
8,2026-01-16T03:05:35.970Z,21.73,-58.02,No,0.0,302
8,2026-01-16T03:20:35.970Z,24.74,-56.06,No,0.0,357
9,2026-01-16T03:35:35.970Z,27.67,-53.93,No,0.0,409
9,2026-01-16T03:50:35.970Z,30.52,-51.61,No,0.0,459
9,2026-01-16T04:05:35.970Z,33.27,-49.07,No,0.0,506
9,2026-01-16T04:20:35.970Z,35.92,-46.29,No,0.0,550
10,2026-01-16T04:35:35.970Z,38.44,-43.24,No,0.0,591
10,2026-01-16T04:50:35.970Z,40.82,-39.91,No,0.0,628
10,2026-01-16T05:05:35.970Z,43.03,-36.26,No,0.0,661
10,2026-01-16T05:20:35.970Z,45.05,-32.28,No,0.0,691
11,2026-01-16T05:35:35.970Z,46.84,-27.96,No,0.0,716
11,2026-01-16T05:50:35.970Z,48.39,-23.30,No,0.0,738
11,2026-01-16T06:05:35.970Z,49.67,-18.33,No,0.0,755
11,2026-01-16T06:20:35.970Z,50.64,-13.08,No,0.0,768
12,2026-01-16T06:35:35.970Z,51.29,-7.62,No,0.0,776
12,2026-01-16T06:50:35.970Z,51.59,-2.02,No,0.0,780
12,2026-01-16T07:05:35.970Z,51.54,3.61,No,0.0,779
12,2026-01-16T07:20:35.970Z,51.14,9.18,No,0.0,774
13,2026-01-16T07:35:35.970Z,50.41,14.59,No,0.0,764
13,2026-01-16T07:50:35.970Z,49.35,19.77,No,0.0,751
13,2026-01-16T08:05:35.970Z,48.00,24.66,No,0.0,732
13,2026-01-16T08:20:35.970Z,46.38,29.23,No,0.0,710
14,2026-01-16T08:35:35.970Z,44.52,33.45,No,0.0,683
14,2026-01-16T08:50:35.970Z,42.45,37.34,No,0.0,653
14,2026-01-16T09:05:35.970Z,40.19,40.91,No,0.0,618
14,2026-01-16T09:20:35.970Z,37.77,44.16,No,0.0,580
15,2026-01-16T09:35:35.970Z,35.22,47.14,No,0.0,538
15,2026-01-16T09:50:35.970Z,32.54,49.85,No,0.0,493
15,2026-01-16T10:05:35.970Z,29.75,52.33,No,0.0,446
15,2026-01-16T10:20:35.970Z,26.88,54.60,No,0.0,395
16,2026-01-16T10:35:35.970Z,23.93,56.68,No,0.0,342
16,2026-01-16T10:50:35.970Z,20.90,58.60,No,0.0,287
16,2026-01-16T11:05:35.970Z,17.82,60.36,No,0.0,231
16,2026-01-16T11:20:35.970Z,14.69,61.98,No,0.0,175
17,2026-01-16T11:35:35.970Z,11.51,63.49,No,0.0,120
17,2026-01-16T11:50:35.970Z,8.29,64.88,No,0.0,68
17,2026-01-16T12:05:35.970Z,5.03,66.18,No,0.0,25
17,2026-01-16T12:20:35.970Z,1.75,67.38,No,0.0,2

# Recommendations
1,"Best natural light: 07:05 AM to 05:50 PM (11.0 hours total)"
2,"Morning ventilation: Open windows 07:05 AM - 11:20 AM before heat builds"
3,"Evening ventilation: Re-open windows after 02:20 PM when heat subsides"
4,"Peak heat at 12:20 PM (780 W/m²). Close blinds 11:20 AM - 02:20 PM"
5,"Morning sun 07:05 AM: Ideal for plants needing gentle light"
